iter	MultiClass
0	1.082343003
1	1.066275918
2	1.052696354
3	1.030992907
4	1.011457216
5	0.9933965373
6	0.9770714176
7	0.9616495701
8	0.9446610677
9	0.9343085984
10	0.9236460142
11	0.9023708875
12	0.8859770611
13	0.8706382847
14	0.8519348694
15	0.8359432403
16	0.8145029504
17	0.8016003296
18	0.7880565692
19	0.7777413313
20	0.76164444
21	0.7490490033
22	0.7335194909
23	0.7155784396
24	0.7012344815
25	0.6921313593
26	0.6844898332
27	0.6727748284
28	0.6666796543
29	0.6604497142
30	0.6546312689
31	0.6442351999
32	0.6367235559
33	0.6243412924
34	0.6100860053
35	0.5987135378
36	0.5919498153
37	0.5748146825
38	0.5645742603
39	0.5486539979
40	0.5334259941
41	0.527821998
42	0.5185056271
43	0.5094500994
44	0.498896135
45	0.4857307399
46	0.4731119786
47	0.4610110707
48	0.4494009679
49	0.4421383117
50	0.4363760206
51	0.4293208974
52	0.4212124042
53	0.4162669759
54	0.4063471772
55	0.3968096027
56	0.3896462228
57	0.3807293338
58	0.3721454383
59	0.3649834635
60	0.3596235123
61	0.351799389
62	0.3442559513
63	0.3379673809
64	0.3324250534
65	0.3255565026
66	0.3202484022
67	0.3137888221
68	0.3075471575
69	0.3036047525
70	0.2989511562
71	0.2931890783
72	0.2876142887
73	0.2822186224
74	0.2769943474
75	0.2719341375
76	0.2677218505
77	0.2638717867
78	0.2606762649
79	0.2561056196
80	0.2516721605
81	0.2473703008
82	0.2440598878
83	0.2408263295
84	0.2376069684
85	0.2344971619
86	0.2314775886
87	0.2277382393
88	0.2241037396
89	0.2213094061
90	0.2178491494
91	0.2144832176
92	0.2112080748
93	0.2084698097
94	0.2059990118
95	0.2035800173
96	0.2005877422
97	0.1980859502
98	0.195804269
99	0.1935408862
100	0.1913505577
101	0.18866299
102	0.186042148
103	0.1840129659
104	0.1823377522
105	0.1802197568
106	0.1782596824
107	0.1758863127
108	0.1739020445
109	0.1720948387
110	0.1698650913
111	0.1676868733
112	0.165977366
113	0.1638862945
114	0.1618423533
115	0.1602494445
116	0.1589373486
117	0.1572819838
118	0.1557662307
119	0.154549714
120	0.1532596944
121	0.1518135174
122	0.1500260978
123	0.1482766465
124	0.146564028
125	0.1451999852
126	0.1438733354
127	0.1428043379
128	0.1412020519
129	0.139940415
130	0.1383952134
131	0.1368809986
132	0.1356131622
133	0.1341543076
134	0.1329883109
135	0.1318635907
136	0.1304759981
137	0.1291150323
138	0.1280486207
139	0.1267329309
140	0.1256310044
141	0.1246154031
142	0.1236056802
143	0.1227369922
144	0.12188043
145	0.1208505943
146	0.1196646812
147	0.1187269189
148	0.1177913267
149	0.1166589987
150	0.1157715145
151	0.114674208
152	0.1135960656
153	0.1130052906
154	0.1121602106
155	0.1111242211
156	0.1101059061
157	0.1091048343
158	0.1081205878
159	0.1073309678
160	0.1063757739
161	0.105436319
162	0.1046911396
163	0.1040477236
164	0.1033211082
165	0.102733502
166	0.101851243
167	0.1009830625
168	0.1002952796
169	0.09962117046
170	0.09878734273
171	0.09808585306
172	0.09743373474
173	0.09663354867
174	0.09611879579
175	0.0953384416
176	0.09456990644
177	0.09406253874
178	0.09331293654
179	0.09257449045
180	0.09209913731
181	0.09151764961
182	0.09093524612
183	0.09035995185
184	0.08980301176
185	0.08911448161
186	0.08843584418
187	0.08788958197
188	0.08722812473
189	0.08670238782
190	0.0860573902
191	0.08553814163
192	0.08500115871
193	0.08449364243
194	0.08400158228
195	0.08350537018
196	0.08290362568
197	0.08231004359
198	0.08172446355
199	0.08114672931
